Location;Capacity Glass;EmptyTimeGlass;Mean Glass;Std glass;Capacity Plastic;EmptyTimePlastic;mean plastic;std plastic
165;1.65;3;0.013719095;0.000647401;1.65;3;0.012412563;0.000622631
166;1.65;3;0.014238693;0.000728954;1.65;3;0.012504523;0.000674746
167;1.65;3;0.023801005;0.001163849;1.65;3;0.023005528;0.001151249
168;1.65;3;0.006322111;0.000303204;0;0;0;0
169;3.3;4;0.059950754;0.003065643;1.65;3;0.028115075;0.001364808
170;1.65;3;0.005800503;0.00028981;0;0;0;0
171;1.65;3;0.01638191;0.000777703;1.65;3;0.014594975;0.000668539
172;1.65;3;0.004735176;0.000266986;0;0;0;0
173;1.65;3;0.017921608;0.000873161;1.65;3;0.004642211;0.00024767
174;1.65;3;0.011098995;0.000562012;1.65;3;0.003630653;0.000205518
175;1.65;3;0.023754774;0.001154729;1.65;3;0.00731407;0.000381654
176;1.65;3;0.007351759;0.00035927;1.65;3;0.007303518;0.00037516
177;1.65;3;0.024450754;0.001213305;1.65;3;0.005664322;0.000278675
178;1.65;3;0.009930151;0.000473324;1.65;3;0.014436683;0.000763902
179;1.65;3;0.011609045;0.000619236;0;0;0;0
180;1.65;3;0.044424623;0.002145831;1.65;3;0.003103015;0.000162029
181;3.3;4;0.186635176;0.009519829;3.3;4;0.155590955;0.007479205
182;1.65;3;0.078737688;0.00415373;1.65;3;0.052570854;0.002629947
183;1.65;3;0.026457286;0.001302071;1.65;3;0.018237688;0.001021059
184;1.65;3;0.022194975;0.001176055;1.65;3;0.02338593;0.001233048
185;1.65;3;0.017453769;0.000901835;1.65;3;0.021249246;0.001069781
186;1.65;3;0.014273869;0.000693054;1.65;3;0.015564322;0.0007537
187;1.65;3;0.094973367;0.005067518;1.65;3;0.073212563;0.003586407
188;1.65;3;0.041872362;0.002051998;1.65;3;0.071650754;0.00382691
189;3.3;4;0.051998492;0.002419418;3.3;4;0.045096985;0.002236111
190;1.65;3;0.007388945;0.000356297;1.65;3;0.010441206;0.00046342
191;1.65;3;0.040996985;0.001945882;1.65;3;0.026506533;0.001308213
192;1.65;3;0.023273367;0.001145719;1.65;3;0.03050804;0.00163189
193;1.65;3;0.028152764;0.001340051;1.65;3;0.029284422;0.001411893
194;1.65;3;0.004729146;0.000250565;0;0;0;0
195;1.65;3;0.00419196;0.000208979;0;0;0;0
196;1.65;3;0.004192965;0.000198354;0;0;0;0
197;1.65;3;0.00629598;0.000353745;1.65;3;0.007221608;0.00037509
198;1.65;3;0.006301005;0.000324113;1.65;3;0.009890955;0.000497792
199;1.65;3;0.018507035;0.000882003;1.65;3;0.013970352;0.000699549
200;1.65;3;0.097202513;0.004916694;1.65;3;0.073135678;0.003580091
201;1.65;3;0.06121206;0.002968769;1.65;3;0.050270854;0.002461821
202;1.65;3;0.01739799;0.000829504;1.65;3;0.011404523;0.000581994
203;1.65;3;0.004725126;0.00025873;1.65;3;0.014072362;0.000722083
204;1.65;3;0.015332663;0.000797843;0;0;0;0
205;1.65;3;0.085313065;0.004326408;1.65;3;0.120645226;0.006060183
206;1.65;3;0.005280905;0.000267682;0;0;0;0
207;1.65;3;0.00470201;0.000260528;1.65;3;0.007792462;0.000393243
208;1.65;3;0.001052764;0.00005394;0;0;0;0
